lhs,op,Effect,Estimate,SE,t,df,p,lower,upper,Std. estimate
i,=~,sat140,1,0,NA,NA,NA,1,1,1.4471140034370389
i,=~,ks2_mat,1,0,NA,NA,NA,1,1,0.845414113580522
i,=~,ks3_mat,1,0,NA,NA,NA,1,1,0.6441990992635959
i,=~,ks4_maths,1,0,NA,NA,NA,1,1,0.4881974400646875
s,=~,sat140,-4,0,NA,NA,NA,-4,-4,-0.9342661248339735
s,=~,ks2_mat,0,0,NA,NA,NA,0,0,0
s,=~,ks3_mat,3,0,NA,NA,NA,3,3,0.31192431694794326
s,=~,ks4_maths,5,0,NA,NA,NA,5,5,0.3939792661461053
i,~,wm_cent,0.01860196473387497,0.004418722874441057,4.209805697812179,402.4936936400119,3.155256236663984e-5,0.009915306222135163,0.027288623245614776,0.07039080951959618
i,~,int_sdq_6,-0.015028656661419115,0.0037772336470974156,-3.978746899326115,923.7886462052976,7.470300997815865e-5,-0.022441610938403356,-0.007615702384434875,-0.048203696209410465
i,~,iq_cent,0.019605871568530237,6.336581805700882e-4,30.940769281777865,514.489136502211,1.6306032669865014e-119,0.018360995836620757,0.020850747300439718,0.4048849450223489
i,~,emot_cent,0.001145693981490843,0.0021540920006199397,0.531868639390108,2676.6497493247743,0.5948611184336763,-0.00307815874479925,0.0053695467077809365,0.006318222838462559
i,~,ses_cent,0.005185960709826585,8.741181857394235e-4,5.932791233990562,1630.208343777936,3.6298809345558148e-9,0.0034714476061470222,0.006900473813506149,0.08005478559058382
i,~,cse_voc,-0.019972185339166604,0.04379848260444128,-0.45600176425156275,1592.265454892842,0.6484508940159477,-0.10588093672837444,0.06593656605004124,-0.00617377043393566
i,~,cse_olevel,0.18641058374378505,0.03143116007350178,5.930757353780892,1640.4211629513707,3.669718030388776e-9,0.12476115530643882,0.24806001218113127,0.110107646493535
i,~,cse_alevel,0.2644149794948001,0.03155333853830383,8.379936695884538,1904.5066612132339,1.0142186597708091e-16,0.20253224467022943,0.32629771431937077,0.16723732345728992
i,~,cse_degree,0.44869442707659435,0.03689923776617616,12.15999175700838,1714.9237814649614,1.0788050202819163e-32,0.3763221714814046,0.521066682671784,0.25248033547008136
i,~,sex,-0.04906468137241587,0.017350386800449442,-2.827872481271997,7117.983157248446,0.004698934734915915,-0.08307659809787807,-0.01505276464695366,-0.03253996197810448
i,~,life_evs_5,-0.00416851171544979,0.002608703165353297,-1.5979248888154924,1382.459950568344,0.11028821484355197,-0.009285956298953922,9.489328680543415e-4,-0.01866199237713779
i,~,wm_cent:int_sdq_6,0.0023877442092205604,0.0012193409472396463,1.958225231938577,271.31280175402014,0.05122818606369919,-1.2828564762180049e-5,0.004788316983203301,0.03186402926958502
s,~,wm_cent,0.0013782220566269958,8.658108688040617e-4,1.5918280842682466,471.1281012534659,0.11209404303106488,-3.231067119120329e-4,0.0030795508251660244,0.032312344783203495
s,~,int_sdq_6,-0.0013270111428330122,7.377551504323876e-4,-1.7987148474060402,1160.909429647518,0.07232346594344663,-0.002774493786030634,1.2047150036460959e-4,-0.026371017246069613
s,~,iq_cent,0.0027227984379749157,1.241783263308374e-4,21.926519050682028,667.5521949556833,1.1141310190877732e-80,0.0024789713122761745,0.002966625563673657,0.34837991042587174
s,~,emot_cent,1.3752833115939918e-4,4.214408496286798e-4,0.32632890542189186,3026.5316405312265,0.7441980836948825,-6.888110215103025e-4,9.63867683829101e-4,0.004699055945735356
s,~,ses_cent,9.513896072709056e-4,1.7211929856695914e-4,5.527501071594182,1939.135418725283,3.6874297099625986e-8,6.138312869803722e-4,0.001288947927561439,0.09099313221157757
s,~,cse_voc,0.001995745806757435,0.00841438810721753,0.23718252371144646,1981.2636366216282,0.8125397149913902,-0.014506232878073289,0.01849772449158816,0.003822277814494015
s,~,cse_olevel,0.027442550762034498,0.0060696004271393,4.521310931660226,1732.0295722967132,6.562533918294938e-6,0.015538033593231422,0.03934706793083757,0.10043001437653133
s,~,cse_alevel,0.05328168145031898,0.006108829799699485,8.722076600160001,1616.0820745405101,6.6580616947724025e-18,0.041299621206365045,0.06526374169427292,0.20879361341390734
s,~,cse_degree,0.0952306179501229,0.007238387236316787,13.156330939622466,1361.1077515174927,2.662139379406709e-37,0.0810310128589439,0.1094302230413019,0.3320057618246616
