id_fam,sex1,ases,maths_09,maths_10,maths_12,verbal_09_z,verbal_10_z,verbal_12_z,sdq_09,sdq_12,maths_anx_18,anx_spaa_18,spatial_anx_18,sdq_change,verbal_mean,maths_int,maths_slope
137,Male,0.2693699744573456,NA,NA,NA,NA,-0.3457997037964637,-0.049257642414550634,NA,1,NA,NA,NA,NA,-0.19752867310550715,NA,NA
392,Male,0.4321214431424327,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NaN,3.1018367042232278,0.5885778537008397
1077,Male,0.09891607428126804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
1109,Male,1.7971770749098006,NA,NA,NA,NA,NA,0.7978286035324077,NA,0,NA,NA,NA,NA,0.7978286035324077,NA,NA
1127,Female,-0.6203753909536647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
1170,Male,1.2782384505113669,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NaN,NA,NA
1178,Female,2.140480133178739,NA,NA,4.333333333333333,NA,NA,-0.10479371401432282,NA,0,NA,NA,NA,NA,-0.10479371401432282,2.867866244818594,0.4895182353358207
1187,Male,NA,3,3.3333333333333335,6,0.05851559081277932,NA,NA,4,NA,NA,NA,NA,NA,NaN,3.0737909424953207,0.7698883676602803
1194,Male,-1.045317035681891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
1196,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
1374,Female,0.38851229170812174,NA,3,4,-0.2721164421850532,-1.32489843995842,-0.027072043814824913,5,1,NA,NA,NA,-4,-0.6759852418866225,2.6749877570019733,0.4452626737118498
1383,Female,1.3829740390839274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
1389,Male,0.5635827251757748,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NaN,NA,NA
1572,Female,-1.0282068823996542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
1578,Female,0.31999868364536116,3,4,NA,0.5601401521858997,0.7367178027775766,-0.13800003681345352,2,0,NA,NA,NA,-2,0.29935888298206154,3.132614911167661,0.5714225983147779
1581,Female,-0.9330327064286232,NA,NA,4,NA,NA,-0.013674194534440028,NA,3,NA,NA,NA,NA,-0.013674194534440028,2.7508810151162777,0.43998842615331124
1587,Female,-0.1791784763808746,NA,NA,NA,NA,NA,-0.8366301674034402,NA,4,NA,NA,NA,NA,-0.8366301674034402,NA,NA
1671,Female,-1.110065872039248,NA,NA,NA,NA,NA,NA,NA,NA,4.111111111111111,3,2.7,NA,NaN,NA,NA
